job,host,seed,variant,shape,status,diagnostic,algae-amount,branching,fruit-amount,height,long-tongues,rim-width,stone-amount,teams,tongue-count,wheat-amount,width,wood-amount,workers,fairness,score,minimum_build_sites,minimum_wheat,minimum_wood,branches_requested,branches_placed,approaches_narrow,unreachable_walking_pairs,water_components,telemetry_dropped,telemetry_invalid,report_version
019fad7cf82297d2a7f7fc14c25390aa,pharaoh-dev-3.local,50172,combined-random,512x512x2,completed,lava-shield revision 1 seed 50172 [complete]: ,75,3,100,9,50,12,50,2,5,0,9,0,5,0.982099,0.559549,880,0.625,0.6875,15,14,False,0,2,0,0,2
5b6bf6962f13de736ef39f5e289beaa5,pharaoh-dev-3.local,50173,combined-random,512x512x4,completed,lava-shield revision 1 seed 50173 [complete]: ,25,3,0,9,75,6,100,4,3,100,9,200,1,0.960527,0.565926,661,0.5,0.65625,9,8,False,0,2,0,0,2
5aa80ddd9025e7e05c8f1aef040218d2,pharaoh-dev-3.local,50174,combined-random,512x512x8,completed,lava-shield revision 1 seed 50174 [complete]: ,275,1,100,9,50,6,100,8,5,25,9,175,2,0.904066,0.506333,914,0.458333,0.65625,5,5,False,0,2,0,0,2
b77b2db7c3f8acba3e33fe80b1bf7d59,pharaoh-dev-3.local,50175,combined-random,512x512x12,completed,lava-shield revision 1 seed 50175 [complete]: ,0,3,300,9,50,10,275,12,7,100,9,125,2,0.810336,0.424307,730,0.5,0.59375,21,17,False,0,2,0,0,2
9a9681058bb75c8b81dc96a0241ce85c,pharaoh-dev-2.local,50176,combined-random,128x128x2,completed,lava-shield revision 1 seed 50176 [complete]: ,150,1,175,7,25,8,250,2,5,225,7,250,4,0.983218,0.577091,383,0.625,0.71875,4,3,False,0,2,0,0,2
b517a34a62afd2b2ddf76b3fc0d493f9,pharaoh-dev-2.local,50177,combined-random,128x256x2,completed,lava-shield revision 1 seed 50177 [complete]: ,200,2,300,8,25,6,100,2,4,25,7,75,1,0.982534,0.567145,737,0.583333,0.65625,8,7,False,0,2,0,0,2
d1cea5d6c627469f896f24ad0dbb4f9a,pharaoh-dev-2.local,50178,combined-random,256x128x2,completed,lava-shield revision 1 seed 50178 [complete]: ,275,3,125,7,25,8,100,2,3,200,8,125,8,0.999933,0.627556,644,0.625,0.71875,6,3,False,0,2,0,0,2
2e528638c0474ac0240dc00af165926b,pharaoh-dev-2.local,50179,combined-random,256x256x2,completed,lava-shield revision 1 seed 50179 [complete]: ,225,1,300,8,25,8,0,2,7,50,8,175,8,0.999168,0.613912,945,0.625,0.71875,7,6,False,0,2,0,0,2
10b617da93efde677555975d7d6f5656,pharaoh-dev-2.local,50180,combined-random,256x256x4,completed,lava-shield revision 1 seed 50180 [complete]: ,150,0,175,8,25,8,150,4,5,250,8,0,4,0.964252,0.610256,822,0.625,0.71875,0,0,False,0,2,0,0,2
5bfee7a13754045b3a692d1e9573bf06,pharaoh-dev-1.local,50181,combined-random,256x256x8,completed,lava-shield revision 1 seed 50181 [complete]: ,175,3,50,8,75,6,100,8,4,300,8,275,8,0.886553,0.499363,544,0.625,0.71875,12,7,False,0,2,0,0,2
