job,host,seed,variant,shape,cohort,status,diagnostic,algae-amount,branching,fruit-amount,height,long-tongues,rim-width,stone-amount,teams,tongue-count,wheat-amount,width,wood-amount,workers,fairness,score,minimum_build_sites,minimum_wheat,minimum_wood,branches_requested,branches_placed,approaches_narrow,starter_secondary,unreachable_walking_pairs,water_components,telemetry_dropped,telemetry_invalid,report_version
c0449c3e9a2287695444b9ff7a9ed4ba,pharaoh-dev-3.local,50143,combined-random,512x512x12,bulk,completed,lava-shield revision 1 seed 50143 [complete]: ,75,2,50,9,75,6,150,12,6,150,9,225,1,0.842513,0.457173,511,0.458333,0.5625,12,9,False,False,0,2,0,0,2
b84da2d800dc85a10d91caa1fbb57d0e,pharaoh-dev-3.local,50144,combined-random,128x128x2,bulk,completed,lava-shield revision 1 seed 50144 [complete]: ,25,3,300,7,50,8,175,2,4,250,7,100,4,0.973717,0.599444,477,0.625,0.71875,9,4,False,False,0,2,0,0,2
d6a840e78e2c6b6ed749e2bfd3fdbcea,pharaoh-dev-3.local,50145,combined-random,128x256x2,bulk,completed,lava-shield revision 1 seed 50145 [complete]: ,50,2,25,8,50,6,100,2,3,50,7,25,4,0.971107,0.606281,633,0.625,0.6875,6,3,False,False,0,2,0,0,2
37c6ee79af87aabe16aa5135136c1c0e,pharaoh-dev-3.local,50146,combined-random,256x128x2,bulk,completed,lava-shield revision 1 seed 50146 [complete]: ,250,0,225,7,25,6,75,2,3,250,8,275,8,0.971235,0.609927,809,0.625,0.71875,0,0,False,False,0,2,0,0,2
3a3d4e24d9c11435f75f7ca1145ddbcb,pharaoh-dev-2.local,50147,combined-random,256x256x2,bulk,completed,lava-shield revision 1 seed 50147 [complete]: ,300,2,175,8,25,8,0,2,5,100,8,0,5,0.994782,0.643226,991,0.625,0.71875,10,9,False,False,0,2,0,0,2
1de638c18d2fc186fd97334f25620f13,pharaoh-dev-2.local,50148,combined-random,256x256x4,bulk,completed,lava-shield revision 1 seed 50148 [complete]: ,100,1,275,8,25,8,275,4,6,0,8,250,5,0.957753,0.575068,734,0.625,0.6875,6,6,False,False,0,2,0,0,2
9be151c004079887d3b6ec74d23f6149,pharaoh-dev-2.local,50149,combined-random,256x256x8,bulk,completed,lava-shield revision 1 seed 50149 [complete]: ,0,0,200,8,75,8,225,8,4,50,8,200,1,0.824096,0.42519,485,0.583333,0.5625,0,0,False,False,0,2,0,0,2
e1ea1052120de38cee0a40cca0967218,pharaoh-dev-2.local,50150,combined-random,256x512x2,bulk,completed,lava-shield revision 1 seed 50150 [complete]: ,250,3,300,9,75,10,225,2,9,275,8,275,2,0.989534,0.59049,794,0.625,0.6875,27,23,False,False,0,2,0,0,2
bc696e92d842f31b5fce429e1ffc6676,pharaoh-dev-2.local,50151,combined-random,256x512x4,bulk,completed,lava-shield revision 1 seed 50151 [complete]: ,300,1,0,9,25,10,125,4,7,200,8,250,1,0.900796,0.499725,681,0.541667,0.59375,7,6,False,False,0,2,0,0,2
be4c7291030683a166e6af6379aa814e,pharaoh-dev-2.local,50152,combined-random,256x512x8,bulk,completed,lava-shield revision 1 seed 50152 [complete]: ,150,2,100,9,25,6,25,8,3,200,8,50,1,0.899337,0.504389,539,0.458333,0.625,6,4,False,False,0,2,0,0,2
